文件,配方ID,ActionId,缺失字段,严重程度
long_recipes.json,long.refinestrategy.intrigue.createmystique,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.drysoul,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.fiftheye,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.poisonway,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.lantern.greatwork,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.poisonpassionwithdread,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.poisonreasonwithfascination,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.createfascination.poisoned,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.dreadtofascination.poisoned,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.createfascination,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.learndreams.followup,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.learnfears.followup,未知,label,严重
long_recipes.json,long.refinestrategy.dreams.learndreams,未知,label,严重
long_recipes.json,long.refinestrategy.downtime.learn.winter,未知,label,严重
long_recipes.json,long.refinestrategy.downtime.learn,未知,label,严重
long_recipes.json,long.refinestrategy.downtime.rest,未知,label,严重
long_recipes_attacks.json,long.executestrategy.intrigue.poison.follower.resentment.defendpassion.succeed,未知,label,严重
long_recipes_attacks.json,long.executestrategy.intrigue.poison.follower.notoriety.defendfavour,未知,label,严重
long_recipes_attacks.json,long.executestrategy.intrigue.poison.follower.notoriety.defendmystique.succeed,未知,label,严重
scheme.json,scheme_expedition_snare_great,未知,label,严重
scheme.json,scheme_expedition_snare_good,未知,label,严重
scheme.json,scheme_expedition_snare_poor,未知,label,严重
scheme.json,scheme_expedition_snare_rubbish,未知,label,严重
study_3_research.json,studyproject_subvert_epiphany,未知,label,严重
study_3_research_facechallenges.json,studyresearchearlyconclusion,未知,label,严重
study_3_research_facechallenges.json,studyresearchconclusion,未知,label,严重
talking_8_follower.json,L_set_trap_router,未知,label,严重
talking_8_follower.json,L_settrap_highedge,未知,label,严重
talking_8_follower.json,L_settrap_highwinter,未知,label,严重
talking_8_follower.json,L_settrap_highforge,未知,label,严重
talking_8_follower.json,L_settrap_highmoth,未知,label,严重
talking_8_follower.json,L_settrap_midedge,未知,label,严重
talking_8_follower.json,L_settrap_midwinter,未知,label,严重
talking_8_follower.json,L_settrap_midforge,未知,label,严重
talking_8_follower.json,L_settrap_midmoth,未知,label,严重
talking_8_follower.json,L_settrap_lowedge,未知,label,严重
talking_8_follower.json,L_settrap_lowwinter,未知,label,严重
talking_8_follower.json,L_settrap_lowforge,未知,label,严重
talking_8_follower.json,L_settrap_lowmoth,未知,label,严重
talk_l_romance.json,L_roserouter,未知,label,严重
time.json,drawseason,未知,label,严重
time.json,discardseason,未知,label,严重
time.json,despairrisklink,未知,label,严重
time.json,visionsrisklink,未知,label,严重
work_2a_painting.json,paintcheckpigment,未知,label,严重
work_2a_painting.json,paintmasteredge_unique,未知,label,严重
work_2a_painting.json,paintmasterforge_unique,未知,label,严重
work_2a_painting.json,paintmastergrail_unique,未知,label,严重
work_2a_painting.json,paintmasterheart_unique,未知,label,严重
work_2a_painting.json,paintmasterknock_unique,未知,label,严重
work_2a_painting.json,paintmasterlantern_unique,未知,label,严重
work_2a_painting.json,paintmastermoth_unique,未知,label,严重
work_2a_painting.json,paintmasterwinter_unique,未知,label,严重
work_2a_painting.json,paintingreputationcheck,未知,label,严重
z_legacyrecipepreservation.json,translatevakh1int,未知,label,严重
z_legacyrecipepreservation.json,studyincreasehealthskillc,未知,label,严重
z_legacyrecipepreservation.json,studyincreasereasonskillc,未知,label,严重
z_legacyrecipepreservation.json,studyincreasepassionskillc,未知,label,严重
2_cluesdream.json,temptationremembrancehintdream,未知,actionId,严重
2_cluesdream.json,vitalityhintdream,未知,actionId,严重
2_cluesdream.json,eruditionhintdream,未知,actionId,严重
2_cluesdream.json,glimmeringhintdream,未知,actionId,严重
2_cluesdream.json,contentmenthintdream,未知,actionId,严重
2_cluesdream.json,dedicationtoobsession_power_hint,未知,actionId,严重
2_cluesdream.json,dedicationtoobsession_enlightenment_hint,未知,actionId,严重
2_cluesdream.json,tryreducefascination,未知,actionId,严重
2_cluesdream.json,tryrecoverreason,未知,actionId,严重
2_cluesdream.json,tryrecoverillhealth,未知,actionId,严重
2_cluesexplore.json,explore_movehq_hint,未知,actionId,严重
2_cluesexplore.json,explorevault_hint_sending,未知,actionId,严重
2_cluesexplore.json,explorevault_hint_addfunds,未知,actionId,严重
2_cluesexplore.json,explorevault_hint_addfollower,未知,actionId,严重
2_cluesexplore.json,explorevault_hint,未知,actionId,严重
2_cluesexplore.json,exploresulochanacabaret_hint,未知,actionId,严重
2_cluesexplore.json,explore.searchgraveyard.hint,未知,actionId,严重
2_cluesexplore.json,explore.searchgraveyard.closing.hint,未知,actionId,严重
2_cluesstudy.json,studyupgrade_downgrade_lore_hint,未知,actionId,严重
2_cluesstudy.json,studyupgradelore_hint,未知,actionId,严重
2_cluesstudy.json,studyprealzabo_hint,未知,actionId,严重
2_cluesstudy.json,studyalzabo_hint,未知,actionId,严重
2_cluesstudy.json,translatelatinhint,未知,actionId,严重
2_cluesstudy.json,translategreekhint,未知,actionId,严重
2_cluesstudy.json,translatearamaichint,未知,actionId,严重
2_cluesstudy.json,translatesanskrithint,未知,actionId,严重
2_cluesstudy.json,translatefucinehint,未知,actionId,严重
2_cluesstudy.json,translatephrygianhint,未知,actionId,严重
2_cluesstudy.json,translatemandaichint,未知,actionId,严重
2_cluesstudy.json,translatevakhint,未知,actionId,严重
2_cluesstudy.json,studyincreasehealthskilld_wronglore,未知,actionId,严重
2_cluesstudy.json,increasehealthfurtherhint,未知,actionId,严重
2_cluesstudy.json,increasereasonfurtherhint,未知,actionId,严重
2_cluesstudy.json,increasepassionfurtherhint,未知,actionId,严重
2_cluesstudy.json,studyupgradeinfluences.apostlelanternhint,未知,actionId,严重
2_cluesstudy.json,studyupgradeinfluenceshint2,未知,actionId,严重
2_cluesstudy.json,increasehealthfurtherhintpluswithskillneedslore,未知,actionId,严重
2_cluesstudy.json,increasehealthfurtherhintpluswithskill,未知,actionId,严重
2_cluesstudy.json,increasehealthfurtherhintplus,未知,actionId,严重
2_cluesstudy.json,increasehealthfurtherhint1,未知,actionId,严重
2_cluesstudy.json,increasereasonfurtherhintpluswithskillneedslore,未知,actionId,严重
2_cluesstudy.json,increasereasonfurtherhintpluswithskill,未知,actionId,严重
2_cluesstudy.json,increasereasonfurtherhintplus,未知,actionId,严重
2_cluesstudy.json,increasereasonfurtherhint1,未知,actionId,严重
2_cluesstudy.json,increasepassionfurtherhintpluswithskillneedslore,未知,actionId,严重
2_cluesstudy.json,increasepassionfurtherhintpluswithskill,未知,actionId,严重
2_cluesstudy.json,increasepassionfurtherhintplus,未知,actionId,严重
2_cluesstudy.json,increasepassionfurtherhint1,未知,actionId,严重
2_cluesstudy.json,studyrestlessnesshint,未知,actionId,严重
2_cluesstudy.json,studyupgradeinfluenceshint1,未知,actionId,严重
2_cluestalk.json,recruitindependentresentmenthint,未知,actionId,严重
2_cluestalk.json,recruitindependenthint,未知,actionId,严重
2_cluestalk.json,promoteto_d_edgehint,未知,actionId,严重
2_cluestalk.json,promoteto_d_forgehint,未知,actionId,严重
2_cluestalk.json,promoteto_d_grailhint,未知,actionId,严重
2_cluestalk.json,promoteto_d_hearthint,未知,actionId,严重
2_cluestalk.json,promoteto_d_knockhint,未知,actionId,严重
2_cluestalk.json,promoteto_d_lanternhint,未知,actionId,严重
2_cluestalk.json,promoteto_d_mothhint,未知,actionId,严重
2_cluestalk.json,promoteto_d_winterhint,未知,actionId,严重
2_cluestalk.json,promotetodisciplehint,未知,actionId,严重
2_cluestalk.json,talktobenefactorhint,未知,actionId,严重
2_cluestalk.json,recruitacquaintancenoculthint,未知,actionId,严重
2_cluestalk.json,recruitacquaintancehint,未知,actionId,严重
2_cluestalk.json,talk_aladim_wantscommission,未知,actionId,严重
2_cluestalk.json,talk_bechet_wantscommission,未知,actionId,严重
2_cluestalk.json,talk_jannings_wantscommission,未知,actionId,严重
2_cluestalk.json,talk_poppy_wantscommission,未知,actionId,严重
2_cluestalk.json,fulfilcommission_aladimhint,未知,actionId,严重
2_cluestalk.json,fulfilcommission_bechethint,未知,actionId,严重
2_cluestalk.json,fulfilcommission_janningshint,未知,actionId,严重
2_cluestalk.json,fulfilcommission_poppyhint,未知,actionId,严重
2_cluestalk.json,talk_nointeraction_mortal,未知,actionId,严重
2_clueswork.json,work.apostleforge.majorvictory.hint5,未知,actionId,严重
2_clueswork.json,work.apostleforge.majorvictory.hint4,未知,actionId,严重
2_clueswork.json,work.apostleforge.majorvictory.hint3,未知,actionId,严重
2_clueswork.json,work.apostleforge.majorvictory.hint2,未知,actionId,严重
2_clueswork.json,work.apostleforge.majorvictory.hint1,未知,actionId,严重
2_clueswork.json,work.apostlelantern.majorvictory.hint5,未知,actionId,严重
2_clueswork.json,work.apostlelantern.majorvictory.hint4,未知,actionId,严重
2_clueswork.json,work.apostlelantern.majorvictory.hint3,未知,actionId,严重
2_clueswork.json,work.apostlelantern.majorvictory.hint2,未知,actionId,严重
2_clueswork.json,work.apostlelantern.majorvictory.hint1,未知,actionId,严重
2_clueswork.json,work.apostlelantern.majorvictory.hint0,未知,actionId,严重
2_clueswork.json,work.apostlegrail.majorvictory.hint5,未知,actionId,严重
2_clueswork.json,work.apostlegrail.majorvictory.hint4,未知,actionId,严重
2_clueswork.json,work.apostlegrail.majorvictory.hint3,未知,actionId,严重
2_clueswork.json,work.apostlegrail.majorvictory.hint2,未知,actionId,严重
2_clueswork.json,work.apostlegrail.majorvictory.hint1,未知,actionId,严重
2_clueswork.json,work.apostlegrail.majorvictory.hint0,未知,actionId,严重
2_clueswork.json,workbenefactorhint,未知,actionId,严重
2_clueswork.json,workfundshint,未知,actionId,严重
2_clueswork.json,skillhealthhintwork,未知,actionId,严重
2_clueswork.json,vitalityhintwork,未知,actionId,严重
2_clueswork.json,eruditionhintwork,未知,actionId,严重
2_clueswork.json,glimmeringhintwork,未知,actionId,严重
2_clueswork.json,contentmenthintwork,未知,actionId,严重
2_clueswork.json,commissionhint_wronglore,未知,actionId,严重
2_clueswork.json,commissionhint,未知,actionId,严重
2_clueswork.json,minorforgevictory_hint_sixth,未知,actionId,严重
2_clueswork.json,minorforgevictory_hint,未知,actionId,严重
2_clueswork.json,minorgrailvictory_hint_sixth_with_romantic,未知,actionId,严重
2_clueswork.json,minorgrailvictory_hint_sixth,未知,actionId,严重
2_clueswork.json,minorgrailvictory_hint,未知,actionId,严重
2_clueswork.json,minorlanternvictory_hint_sixth,未知,actionId,严重
2_clueswork.json,minorlanternvictory_hint,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_forgee_edge,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_forgee_edge_exists,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_forgee_edge_dayd,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_forgee_edge_nom,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_graile_edge,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_graile_edge_exists,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_graile_edge_dayd,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_lanterne_secret,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_lanterne_secret_exists,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_lanterne_secret_dayd,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_forgec_winter,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_grailc_moth,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_lanternc_edge,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_heartc_edge,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_winterd_edge,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_winterb_heart,未知,actionId,严重
2_clueswork.json,hint_renew_spirit_wintera_edge,未知,actionId,严重
2_clueswork.json,hint_renew_spirit_wintera_moth,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_wintera_edge,未知,actionId,严重
2_clueswork.json,hint_summon_spirit_wintera_moth,未知,actionId,严重
2_clueswork.json,work.openscar.hint,未知,actionId,严重
2_clueswork.json,ritehinthasknockedge,未知,actionId,严重
2_clueswork.json,ritehinthasknockforge,未知,actionId,严重
2_clueswork.json,ritehinthasknockgrail,未知,actionId,严重
2_clueswork.json,ritehinthasknockheart,未知,actionId,严重
2_clueswork.json,ritehinthasknocklantern,未知,actionId,严重
2_clueswork.json,ritehinthasknockmoth,未知,actionId,严重
2_clueswork.json,ritehinthasknocksecrethistories,未知,actionId,严重
2_clueswork.json,ritehinthasknockwinter,未知,actionId,严重
2_clueswork.json,arcane_lantern_edge_hint,未知,actionId,严重
2_clueswork.json,arcane_moth_edge_hint,未知,actionId,严重
2_clueswork.json,arcane_forge_grail_hint,未知,actionId,严重
2_clueswork.json,arcane_winter_lantern_hint,未知,actionId,严重
2_clueswork.json,ritehinthasedge,未知,actionId,严重
2_clueswork.json,ritehinthasforge,未知,actionId,严重
2_clueswork.json,ritehinthasgrail,未知,actionId,严重
2_clueswork.json,ritehinthasheart,未知,actionId,严重
2_clueswork.json,ritehinthasknock,未知,actionId,严重
2_clueswork.json,ritehinthasmicroknock,未知,actionId,严重
2_clueswork.json,ritehinthaslantern,未知,actionId,严重
2_clueswork.json,ritehinthasmoth,未知,actionId,严重
2_clueswork.json,ritehinthassecrethistories,未知,actionId,严重
2_clueswork.json,ritehinthaswinter,未知,actionId,严重
2_clueswork.json,ritehint,未知,actionId,严重
2_clueswork.json,ascensionpower_upgradetoobsession_hint,未知,actionId,严重
2_clueswork.json,ascensionsensation_upgradetoobsession_hint_m,未知,actionId,严重
2_clueswork.json,ascensionsensation_upgradetoobsession_hint_f,未知,actionId,严重
2_clueswork.json,ascensionenlightenment_upgradetoobsession_hint,未知,actionId,严重
2_clueswork.json,work.temptation.remembrance.hint,未知,actionId,严重
2_clueswork.json,detectivework_plotitem_burning_hint,未知,actionId,严重
2_clueswork.json,work.generaldesire.hint,未知,actionId,严重
acquisition.json,auctionbuy,未知,actionId,严重
acquisition.json,playerincreasedbid,未知,actionId,严重
acquisition.json,auctionbidmatched.grailapostlepillar3,未知,actionId,严重
acquisition.json,auctionbidmatched,未知,actionId,严重
acquisition.json,auctionfailureclear,未知,actionId,严重
acquisition.json,auctionfailure,未知,actionId,严重
acquisition.json,auctionsuccess,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultshires3,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultcapital5,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultloneandlevelsands2,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultrendingmountainsdefault,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultshires4,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultshires3.ransackedbyrival,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultcapital5.ransackedbyrival,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultloneandlevelsands2.ransackedbyrival,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultrendingmountainsdefault.ransackedbyrival,未知,actionId,严重
acquisition.json,expedition.corpse.find.vaultshires4.ransackedbyrival,未知,actionId,严重
annoyance_countermeasures.json,annoyanceseducehighgrail,未知,actionId,严重
annoyance_countermeasures.json,annoyanceseducemidgrail,未知,actionId,严重
annoyance_countermeasures.json,annoyanceseducelowgrail,未知,actionId,严重
annoyance_countermeasures.json,annoyanceseducesuccess,未知,actionId,严重
annoyance_countermeasures.json,annoyanceseducefailure,未知,actionId,严重
annoyance_countermeasures.json,annoyanceattackhighedge,未知,actionId,严重
annoyance_countermeasures.json,annoyanceattackmidedge,未知,actionId,严重
annoyance_countermeasures.json,annoyanceattacklowedge,未知,actionId,严重
annoyance_countermeasures.json,annoyanceattacknoedge,未知,actionId,严重
annoyance_countermeasures.json,annoyanceattacksuccess,未知,actionId,严重
annoyance_countermeasures.json,annoyancecapturesuccess,未知,actionId,严重
annoyance_countermeasures.json,annoyanceattackfailure,未知,actionId,严重
annoyance_countermeasures.json,annoyancederangemidmoth,未知,actionId,严重
annoyance_countermeasures.json,annoyancederangelowmoth,未知,actionId,严重
annoyance_countermeasures.json,annoyancederangesuccess,未知,actionId,严重
annoyance_countermeasures.json,annoyancederangefailure,未知,actionId,严重
apostle_forge_greatwork.json,ambition.apostleforge.emitfuel,未知,actionId,严重
apostle_forge_greatwork.json,work.apostleforge.majorvictory.postbetrayal,未知,actionId,严重
apostle_forge_greatwork.json,work.apostleforge.majorvictory,未知,actionId,严重
apostle_forge_greatwork.json,work.apostleforge.createcore,未知,actionId,严重
apostle_forge_greatwork.json,work.apostleforge.awakencore,未知,actionId,严重
apostle_forge_greatwork.json,work.apostleforge.upgradeingredientforgeb,未知,actionId,严重
apostle_forge_greatwork.json,work.apostleforge.upgradeingredientforged,未知,actionId,严重
apostle_forge_greatwork.json,work.apostleforge.prepareingredientforgef,未知,actionId,严重
apostle_forge_greatwork.json,work.apostleforge.baptisefollower,未知,actionId,严重
apostle_forge_greatwork.json,explore.apostleforge.findflaw,未知,actionId,严重
apostle_forge_greatwork.json,talk.apostleforge.sulochanaechidna,未知,actionId,严重
apostle_forge_greatwork.json,talk.apostleforge.echidna,未知,actionId,严重
apostle_forge_greatwork.json,talk.apostleforge.echidnahelp.independent,未知,actionId,严重
apostle_forge_greatwork.json,talk.apostleforge.echidnahelp,未知,actionId,严重
apostle_forge_greatwork.json,talk.apostleforge.echidnahelp.sthydra,未知,actionId,严重
apostle_grail_greatwork.json,ambition.apostlegrail.emitfuel,未知,actionId,严重
apostle_grail_greatwork.json,work.apostlegrail.majorvictory.postbetrayal,未知,actionId,严重
apostle_grail_greatwork.json,work.apostlegrail.majorvictory,未知,actionId,严重
apostle_grail_greatwork.json,explore.apostlegrail.purchase.apostlegrail.pillar3,未知,actionId,严重
apostle_grail_greatwork.json,work.apostlegrail.upgrade.apostlegrail.pillar3.finished,未知,actionId,严重
apostle_grail_greatwork.json,work.apostlegrail.upgrade.apostlegrail.pillar3,未知,actionId,严重
apostle_grail_greatwork.json,work.apostlegrail.upgrade.apostlegrail.pillar3.flavourwith.grail,未知,actionId,严重
apostle_grail_greatwork.json,work.apostlegrail.upgrade.apostlegrail.pillar3.flavourwith.heart,未知,actionId,严重
apostle_grail_greatwork.json,work.apostlegrail.upgrade.apostlegrail.pillar3.flavourwith.moth,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.createpillar4,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.upgradepillar4.attempt,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.upgradepillar4.inprogress.attempt,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.upgradepillar4.marinetteready,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.upgradepillar4.marinettenotready,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.upgradepillar4.succeed,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.sulochanamarinette,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.marinette.ready.hint,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.marinette,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.marinettenext.hireling,未知,actionId,严重
apostle_grail_greatwork.json,talk.apostlegrail.marinettenext.follower,未知,actionId,严重
apostle_lantern_greatwork.json,ambition.apostlelantern.emitfuel,未知,actionId,严重
apostle_lantern_greatwork.json,work.apostlelantern.majorvictory.postbetrayal,未知,actionId,严重
apostle_lantern_greatwork.json,work.apostlelantern.majorvictory,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.createpillar2,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.createpillar3.hint2,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.createpillar3.hint1,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.createpillar3,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.maintainpillar3.hint,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.maintainpillar3,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.usepillar3,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.trycreatepillar4,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.upgradepillar4,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.pillar4.chat,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.attemptrecruitkleidouchos.sulochana,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.recruitkleidouchos.teresa,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.persuadekleidouchos,未知,actionId,严重
apostle_lantern_greatwork.json,apostlelantern.kleidouchos.persuaded.hint,未知,actionId,严重
ascension.json,ascensionpower_upgradetoobsession,未知,actionId,严重
ascension.json,ascensionsensation_upgradetoobsessionm,未知,actionId,严重
ascension.json,ascensionsensation_upgradetoobsessionf,未知,actionId,严重
ascension.json,ascensionsensation_switchpolarity_mtof,未知,actionId,严重
ascension.json,ascensionsensation_switchpolarity_ftom,未知,actionId,严重
ascension.json,ascensionenlightenment_upgradetoobsession,未知,actionId,严重
ascension.json,majorforgevictory,未知,actionId,严重
ascension.json,minorforgevictory_trigger,未知,actionId,严重
ascension.json,minorforgevictory_overture,未知,actionId,严重
ascension.json,minorforgevictory,未知,actionId,严重
ascension.json,minorforgevictorywithrisen,未知,actionId,严重
ascension.json,majorgrailvictory,未知,actionId,严重
ascension.json,minorgrailvictory_withromanticsacrifice,未知,actionId,严重
ascension.json,minorgrailvictory_trigger,未知,actionId,严重
ascension.json,minorgrailvictory_overture,未知,actionId,严重
ascension.json,minorgrailvictory,未知,actionId,严重
ascension.json,minorgrailvictorywithrisen,未知,actionId,严重
ascension.json,majorlanternvictory,未知,actionId,严重
ascension.json,belovedfarewell,未知,actionId,严重
ascension.json,auclairvictory,未知,actionId,严重
ascension.json,catvictory,未知,actionId,严重
ascension.json,clovettevictory,未知,actionId,严重
ascension.json,cliftonvictory,未知,actionId,严重
ascension.json,dorothyvictory,未知,actionId,严重
ascension.json,elridgevictory,未知,actionId,严重
ascension.json,enidvictory,未知,actionId,严重
ascension.json,laidlawvictory,未知,actionId,严重
ascension.json,leovictory,未知,actionId,严重
ascension.json,nevillevictory,未知,actionId,严重
ascension.json,portervictory,未知,actionId,严重
ascension.json,reniravictory,未知,actionId,严重
ascension.json,rosevictory,未知,actionId,严重
ascension.json,salibavictory,未知,actionId,严重
ascension.json,sleevictory,未知,actionId,严重
ascension.json,sylviavictory,未知,actionId,严重
ascension.json,tristanvictory,未知,actionId,严重
ascension.json,valcianevictory,未知,actionId,严重
ascension.json,victorvictory,未知,actionId,严重
ascension.json,violetvictory,未知,actionId,严重
ascension.json,ysabetvictory,未知,actionId,严重
ascension.json,imnotinlove,未知,actionId,严重
ascension.json,minorlanternvictory_trigger,未知,actionId,严重
ascension.json,minorlanternvictory_overture,未知,actionId,严重
ascension.json,minorlanternvictory,未知,actionId,严重
ascension.json,minorlanternvictorywithrisen,未知,actionId,严重
ascension.json,ambition,未知,actionId,严重
ascension.json,L_independent,未知,actionId,严重
ascension.json,L_independent_router,未知,actionId,严重
ascension.json,L_ascension_rival,未知,actionId,严重
ascension.json,L_ascension_rival_apostle,未知,actionId,严重
ascension.json,L_rebellion_activate,未知,actionId,严重
ascension.json,L_rebellion_noactivation,未知,actionId,严重
ascension.json,ending.minorcrownedgrowthvictory,未知,actionId,严重
ascension.json,ascensionnotyet,未知,actionId,严重
ascension.json,ascensionhintpower2,未知,actionId,严重
ascension.json,ascensionhintenlightenment2,未知,actionId,严重
ascension.json,ascensionhintsensation2m,未知,actionId,严重
ascension.json,ascensionhintsensation2f,未知,actionId,严重
ascension.json,ascensionhintpower1,未知,actionId,严重
ascension.json,ascensionhintenlightenment1,未知,actionId,严重
ascension.json,ascensionhintsensation1,未知,actionId,严重
ascension.json,ascensioncravingpower,未知,actionId,严重
ascension.json,ascensionsuccesscravingpower_descend,未知,actionId,严重
ascension.json,ascensioncravingpower_ascend,未知,actionId,严重
ascension.json,ascensioncravingsensation,未知,actionId,严重
ascension.json,ascensionsuccesscravingsensation_descend,未知,actionId,严重
ascension.json,ascensioncravingsensation_ascend,未知,actionId,严重
ascension.json,ascensioncravingenlightenment,未知,actionId,严重
